	Dekker_et_al_individual2_CHX	Dekker_et_al_individual2_untreated	Dekker_et_al_individual4_CHX	Dekker_et_al_individual4_untreated	Dekker_et_al_individual3_CHX	Dekker_et_al_individual3_untreated	Dekker_et_al_individual1_CHX	Dekker_et_al_individual1_untreated	Dekker_et_al_individual5_CHX	Dekker_et_al_individual5_untreated	Dekker_et_al_individual9_CHX	Dekker_et_al_individual9_untreated	Dekker_et_al_individual7_CHX	Dekker_et_al_individual7_untreated	Dekker_et_al_individual8_CHX	Dekker_et_al_individual8_untreated	Dekker_et_al_individual6_CHX	Dekker_et_al_individual6_untreated
chr2_85625812_85625905_CAPG-NM_001256139.1	333	1098	422	1194	1073	1314	650	683	457	912	2394	2840	778	4812	585	997	1279	1405
chr2_85626258_85626408_CAPG-NM_001256139.1	451	1516	545	1565	1423	1746	880	914	578	1127	3088	3789	1040	6402	762	1409	1735	1768
chr2_85626303_85626408_CAPG-NM_001256140.1	393	1331	466	1375	1220	1531	773	786	504	1006	2708	3335	933	5488	658	1235	1542	1571
chr2_85628287_85628452_CAPG-NM_001256139.1	434	1582	550	1603	1424	1909	917	932	601	1117	3108	3887	1009	6061	806	1410	1582	1752
chr2_85628651_85628806_CAPG-NM_001256139.1	338	1221	462	1295	1205	1744	783	806	472	930	2582	3181	790	5187	731	1148	1348	1489
chr2_85628907_85629080_CAPG-NM_001256139.1	333	1152	376	1159	1013	1476	672	688	417	789	2310	2759	714	4815	659	1069	1370	1458
chr2_85629245_85629268_CAPG-NM_001256139.1	156	535	157	517	386	661	290	276	195	335	1024	1182	336	2146	299	516	588	681
chr2_113127757_113127789_RGPD8-NM_001164463.1	66	17	22	36	48	25	148	23	115	23	254	96	119	103	81	52	26	18
chr2_113135629_113135831_RGPD8-NM_001164463.1	1199	117	302	158	499	144	1721	140	1035	104	943	281	763	834	573	216	385	132
chr2_113138400_113138540_RGPD8-NM_001164463.1	1759	153	403	182	754	196	2281	160	1489	133	1078	325	1052	1087	785	250	625	196
chr2_113145600_113147824_RGPD8-NM_001164463.1	10201	1115	2720	1199	4169	955	14412	900	9147	877	6249	1893	7258	6898	4599	1609	3605	1138
chr2_113148551_113148646_RGPD8-NM_001164463.1	1430	115	404	124	514	144	2137	112	1499	110	858	275	1001	1045	548	189	512	168
chr2_113152194_113152330_RGPD8-NM_001164463.1	1769	173	477	180	737	186	2715	129	1813	134	1089	352	1210	1312	642	223	688	242
chr2_113155498_113155582_RGPD8-NM_001164463.1	1505	172	356	145	638	149	2102	107	1439	103	825	278	948	1105	531	163	578	187
chr2_113155675_113155855_RGPD8-NM_001164463.1	1989	245	493	209	828	194	2780	151	1965	144	1086	329	1333	1342	754	228	696	226
chr2_113156799_113156946_RGPD8-NM_001164463.1	1486	194	414	161	499	136	2021	117	1353	92	730	211	1088	935	533	169	437	171
chr2_113157208_113157346_RGPD8-NM_001164463.1	994	118	285	118	332	71	1382	80	871	47	459	113	672	561	341	126	281	99
chr2_113157612_113157771_RGPD8-NM_001164463.1	1387	145	353	145	480	76	1865	92	1348	70	629	175	815	805	509	172	429	104
chr2_113158693_113158817_RGPD8-NM_001164463.1	1634	163	386	148	601	114	2384	101	1713	109	895	220	961	929	620	169	553	136
chr2_113158984_113159160_RGPD8-NM_001164463.1	1644	175	499	178	853	134	3048	144	2096	124	1205	293	1125	1106	770	171	669	185
chr2_113159243_113159425_RGPD8-NM_001164463.1	1492	177	508	216	992	160	3110	161	2064	136	1303	311	1101	1145	777	230	599	185
chr2_113161542_113161752_RGPD8-NM_001164463.1	1612	172	499	229	993	161	3089	173	1966	124	1256	266	1032	1221	737	252	405	149
chr2_113163873_113163961_RGPD8-NM_001164463.1	1063	72	318	128	616	64	1974	107	1307	80	710	155	652	817	457	140	241	86
chr2_113170007_113170203_RGPD8-NM_001164463.1	1092	69	330	121	676	105	2323	98	1444	109	786	160	771	930	504	166	316	116
chr2_113174769_113174915_RGPD8-NM_001164463.1	385	30	170	70	225	53	1087	46	595	58	343	76	274	361	239	64	131	34
chr2_113175260_113175491_RGPD8-NM_001164463.1	861	86	251	57	459	143	1904	116	1187	91	683	213	696	730	463	145	391	121
chr2_113179536_113179689_RGPD8-NM_001164463.1	731	55	202	40	186	112	1324	69	854	48	467	142	605	663	328	113	422	70
chr2_113180124_113180236_RGPD8-NM_001164463.1	480	26	58	44	1	64	716	26	454	28	247	53	357	393	178	56	233	17
chr2_113181816_113181884_RGPD8-NM_001164463.1	210	1	1	7	0	24	280	0	180	12	90	0	123	132	69	22	94	1
chr2_113190958_113191030_RGPD8-NM_001164463.1	71	8	8	4	31	7	105	6	45	3	33	17	56	75	24	16	29	3
chr2_119988588_119988610_STEAP3-NM_182915.3	11	8	34	72	90	93	56	40	5	23	51	93	28	88	44	55	24	21
chr2_120003064_120003564_STEAP3-NM_182915.3	57	122	240	778	456	1028	424	433	68	264	510	1337	267	1560	436	787	183	380
chr2_120003072_120003564_STEAP3-NM_018234.3	57	122	238	777	453	1021	422	430	68	264	510	1332	266	1552	433	786	183	379
chr2_120005254_120005782_STEAP3-NM_182915.3	48	160	246	889	482	1089	484	479	60	278	624	1618	267	1655	420	760	188	319
chr2_120012259_120012424_STEAP3-NM_182915.3	27	78	118	409	205	484	213	218	47	129	283	746	115	704	222	343	87	139
chr2_120015032_120015218_STEAP3-NM_138637.3	2	1	24	4	68	2	36	0	2	0	36	11	8	8	34	1	5	2
chr2_120020632_120020911_STEAP3-NM_182915.3	43	108	173	558	312	647	306	294	51	194	393	960	205	1122	333	537	143	270
chr2_172864876_172864916_METAP1D-NM_199227.3	1	9	2	3	5	5	9	3	4	2	10	12	18	33	3	10	9	6
chr2_172926225_172926383_METAP1D-NM_199227.3	5	15	12	13	14	20	23	9	10	15	27	29	44	95	11	26	24	26
chr2_172928438_172928588_METAP1D-NM_199227.3	5	12	16	21	24	29	33	18	11	22	41	39	61	117	23	30	22	40
chr2_172930331_172930480_METAP1D-NM_199227.3	6	18	12	21	28	24	47	22	21	23	43	46	58	150	27	40	20	37
chr2_172930337_172930480_METAP1D-NM_001322279.2	6	18	12	21	28	22	47	22	21	23	42	46	57	150	27	38	20	35
chr2_172930991_172931034_METAP1D-NM_001322279.2	2	11	7	19	14	16	32	15	19	21	27	34	46	112	15	36	17	22
chr2_172935634_172935798_METAP1D-NM_001322279.2	4	19	15	37	20	37	64	35	21	29	50	61	94	203	25	74	30	25
chr2_172942524_172942622_METAP1D-NM_001322279.2	6	17	13	38	20	31	49	34	12	21	39	49	69	182	19	58	24	18
chr2_172943942_172943990_METAP1D-NM_001322279.2	5	25	10	34	18	22	37	23	12	16	31	38	55	124	19	44	26	18
chr2_172944855_172944934_METAP1D-NM_001322279.2	4	31	7	43	21	27	43	30	13	26	30	48	63	148	16	50	34	22
chr2_172945055_172945131_METAP1D-NM_001322279.2	4	38	7	33	18	20	34	29	12	29	26	39	62	156	16	46	31	18
chr2_202245268_202245941_TRAK2-NM_015049.3	134	628	172	884	428	951	442	666	318	754	507	1361	336	2407	268	929	241	722
chr2_202248833_202248939_TRAK2-NM_015049.3	35	173	64	321	141	319	169	234	105	244	178	534	87	664	93	304	74	251
chr2_202250940_202251207_TRAK2-NM_015049.3	43	261	89	460	208	436	240	300	144	345	263	668	122	1014	107	396	79	330
chr2_202252425_202252724_TRAK2-NM_015049.3	47	296	78	488	202	528	246	321	155	351	235	640	140	1141	116	418	70	333
chr2_202254022_202254226_TRAK2-NM_015049.3	43	286	70	382	151	434	195	289	143	268	215	546	98	1044	111	358	74	280
chr2_202254523_202254603_TRAK2-NM_015049.3	34	170	49	210	90	283	132	191	93	176	132	362	61	758	61	244	59	204
chr2_202257631_202257769_TRAK2-NM_015049.3	42	212	72	287	131	337	158	230	112	225	144	452	90	886	75	313	54	256
chr2_202259520_202259595_TRAK2-NM_015049.3	32	167	62	247	105	271	120	170	72	166	128	361	89	700	63	236	38	213
chr2_202260036_202260167_TRAK2-NM_015049.3	44	226	73	260	131	306	122	208	90	208	144	425	111	837	68	307	52	233
chr2_202262224_202262303_TRAK2-NM_015049.3	48	180	41	210	109	216	88	166	81	162	101	307	85	662	46	225	38	186
chr2_202262867_202263077_TRAK2-NM_015049.3	70	253	52	301	173	328	132	254	103	245	159	432	126	997	86	305	75	256
chr2_202264099_202264216_TRAK2-NM_015049.3	50	180	36	217	128	239	95	170	64	181	107	340	75	674	58	224	56	189
chr2_202265740_202265817_TRAK2-NM_015049.3	38	145	24	182	101	175	86	116	60	142	85	306	58	517	62	193	40	152
chr2_202272125_202272320_TRAK2-NM_015049.3	32	176	28	221	137	229	113	139	77	191	128	414	66	605	81	223	61	170
chr2_202285139_202285230_TRAK2-NM_015049.3	23	116	18	157	91	155	84	101	59	123	93	306	38	420	53	167	41	122
chr2_218999524_219000604_CXCR2-NM_001168298.2	0	0	0	0	4	0	0	0	0	0	2	0	0	0	16	0	6	0
chr2_219854976_219855121_CRYBA2-NM_057094.2	1	0	8	2	3	0	1	0	2	0	15	0	1	2	5	0	12	0
chr2_219855573_219855716_CRYBA2-NM_057094.2	2	0	17	1	3	0	3	0	2	1	20	0	3	2	5	0	15	0
chr2_219856823_219856965_CRYBA2-NM_057094.2	3	0	23	3	2	1	8	0	1	1	34	1	2	0	6	0	9	0
chr2_219857737_219857898_CRYBA2-NM_057094.2	2	0	18	2	1	2	9	0	1	1	35	1	0	0	5	0	10	0
chr2_220101796_220102069_GLB1L-NM_024506.5	43	35	49	53	201	96	275	48	136	74	121	63	120	203	73	83	53	34
chr2_220102233_220102449_GLB1L-NM_024506.5	36	39	65	45	220	104	321	49	151	73	128	67	108	241	85	82	52	36
chr2_220102547_220102679_GLB1L-NM_024506.5	36	27	47	36	167	78	227	36	113	50	108	42	84	221	73	77	57	26
chr2_220102971_220103085_GLB1L-NM_024506.5	36	21	37	26	143	56	179	33	98	44	88	27	66	178	60	62	54	22
chr2_220103216_220103306_GLB1L-NM_024506.5	24	15	29	21	131	49	135	30	82	39	76	28	54	167	51	47	59	18
chr2_220103426_220103501_GLB1L-NM_024506.5	19	18	24	19	119	48	138	29	65	38	67	37	45	142	49	44	46	18
chr2_220103813_220103932_GLB1L-NM_024506.5	26	21	30	24	145	63	170	36	70	52	86	35	54	149	55	55	55	22
chr2_220104132_220104173_GLB1L-NM_024506.5	15	11	17	17	117	45	113	21	47	36	64	29	32	106	39	38	37	15
chr2_220104282_220104404_GLB1L-NM_024506.5	32	16	40	25	155	73	177	53	72	61	90	45	58	116	58	57	57	23
chr2_220104496_220104555_GLB1L-NM_024506.5	23	10	26	19	100	54	121	38	64	41	63	34	36	65	31	35	35	18
chr2_220104641_220104816_GLB1L-NM_024506.5	20	10	28	17	84	56	85	37	46	45	76	44	25	102	41	34	37	20
chr2_220104912_220105007_GLB1L-NM_024506.5	33	11	23	14	92	37	107	42	40	27	90	31	41	86	51	28	28	7
chr2_220107235_220107296_GLB1L-NM_024506.5	31	15	20	20	98	43	102	45	41	26	78	31	39	84	50	34	30	9
chr2_220107489_220107640_GLB1L-NM_024506.5	30	21	24	33	138	59	136	47	54	34	97	38	49	112	56	43	43	18
chr2_220107869_220108036_GLB1L-NM_024506.5	21	22	35	36	140	63	154	39	61	36	97	48	48	128	63	42	51	21
chr2_220108223_220108295_GLB1L-NM_024506.5	27	12	26	24	77	48	80	22	29	17	53	29	26	78	30	23	25	14
chr2_234263164_234263320_DGKD-NM_152879.3	29	8	12	10	49	19	66	8	42	5	64	14	77	52	28	15	12	11
chr2_234296878_234297013_DGKD-NM_003648.3	18	20	28	25	76	38	136	17	77	13	120	28	149	91	61	28	58	17
chr2_234296902_234297013_DGKD-NM_152879.3	18	20	28	25	76	38	136	17	77	13	120	28	149	91	61	28	58	17
chr2_234299048_234299129_DGKD-NM_152879.3	16	23	39	33	107	41	149	25	113	15	154	27	193	108	76	38	78	18
chr2_234343025_234343130_DGKD-NM_152879.3	18	28	50	37	132	42	172	27	132	15	215	42	213	132	99	52	84	24
chr2_234343414_234343547_DGKD-NM_152879.3	29	21	51	43	132	46	200	39	137	18	238	51	223	155	113	60	77	35
chr2_234344463_234344570_DGKD-NM_152879.3	39	18	63	59	155	43	207	41	142	17	230	52	224	175	113	67	90	33
chr2_234344961_234345087_DGKD-NM_152879.3	34	20	73	65	165	54	240	51	159	19	262	64	248	174	118	79	103	30
chr2_234346022_234346125_DGKD-NM_152879.3	30	20	53	59	128	47	205	37	146	20	228	65	217	150	100	75	70	34
chr2_234346862_234347025_DGKD-NM_152879.3	34	20	58	62	135	48	221	45	138	24	233	66	236	153	121	75	54	34
chr2_234350532_234350641_DGKD-NM_152879.3	53	20	60	57	114	43	188	42	131	22	238	55	207	179	111	65	62	27
chr2_234354268_234354408_DGKD-NM_152879.3	76	27	70	70	125	46	223	44	137	25	273	65	243	226	96	79	80	28
chr2_234355357_234355442_DGKD-NM_152879.3	49	22	51	51	98	36	179	31	94	18	213	62	194	203	81	64	56	26
chr2_234356732_234356827_DGKD-NM_152879.3	51	24	67	43	111	38	188	29	100	28	238	55	231	193	110	59	66	30
chr2_234356921_234357021_DGKD-NM_152879.3	45	29	76	58	125	46	204	42	108	35	256	58	266	202	130	69	74	41
chr2_234357748_234358022_DGKD-NM_152879.3	73	49	120	89	237	94	382	71	216	62	419	96	449	307	232	139	132	64
chr2_234358627_234358777_DGKD-NM_152879.3	42	26	66	65	163	63	270	51	157	42	267	69	259	170	173	92	92	40
chr2_234359567_234359696_DGKD-NM_152879.3	64	24	78	58	135	51	245	48	137	32	221	71	226	138	144	74	82	34
chr2_234360609_234360706_DGKD-NM_152879.3	63	26	78	44	123	43	268	36	128	30	237	53	235	124	129	78	80	28
chr2_234363408_234363519_DGKD-NM_152879.3	80	29	71	59	129	45	281	43	131	31	217	48	286	133	126	66	79	35
chr2_234365544_234365641_DGKD-NM_152879.3	70	29	55	57	130	47	224	38	123	36	214	45	259	139	99	66	75	37
chr2_234365866_234365974_DGKD-NM_152879.3	67	25	67	62	152	54	233	49	137	43	260	60	260	167	109	73	83	36
chr2_234366929_234367043_DGKD-NM_152879.3	52	21	82	60	152	56	281	54	135	33	266	64	256	183	120	64	81	27
chr2_234368402_234368537_DGKD-NM_152879.3	61	29	90	61	176	70	308	65	151	40	307	80	305	229	133	81	75	33
chr2_234368839_234368991_DGKD-NM_152879.3	52	27	75	48	179	69	300	56	159	46	341	85	316	218	155	85	78	49
chr2_234370993_234371105_DGKD-NM_152879.3	61	26	66	46	130	62	234	47	114	35	275	70	253	152	135	74	72	41
chr2_234371288_234371381_DGKD-NM_152879.3	55	32	69	49	131	44	227	43	126	30	215	63	233	144	128	75	84	27
chr2_234372809_234372929_DGKD-NM_152879.3	49	26	67	58	155	41	241	40	137	27	262	67	246	165	134	84	77	28
chr2_234375731_234375849_DGKD-NM_152879.3	43	21	65	57	141	45	250	42	132	26	287	68	239	169	123	78	75	34
chr2_234377068_234377199_DGKD-NM_152879.3	39	22	57	48	139	49	260	42	108	19	288	63	244	162	116	68	72	30
chr2_234378016_234378103_DGKD-NM_152879.3	29	23	53	36	98	53	225	37	104	18	232	52	198	116	81	45	57	24
chr2_239756856_239757336_TWIST2-NM_001271893.4	1167	4069	1278	3365	4130	3842	1411	3696	1266	2502	9340	8115	6297	5883	300	315	2188	5434
chr3_12393091_12393173_PPARG-NM_001354668.2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3_12421202_12421430_PPARG-NM_001354668.2	36	11	16	11	62	13	113	14	111	26	29	8	28	77	35	21	29	5
chr3_12421204_12421430_PPARG-NM_001354666.1	36	11	16	11	62	13	113	14	109	26	28	8	27	77	35	21	29	5
chr3_12422820_12422990_PPARG-NM_001354666.1	33	14	13	9	43	8	108	9	100	20	30	17	32	70	38	24	27	9
chr3_12434112_12434251_PPARG-NM_001354666.1	37	15	19	10	43	7	91	9	113	19	27	15	31	88	40	28	24	7
chr3_12434149_12434251_PPARG-NM_001354669.1	34	13	17	8	38	6	80	9	100	16	23	12	27	81	35	27	22	6
chr3_12447380_12447580_PPARG-NM_001354666.1	37	26	30	13	68	10	104	15	133	20	38	14	34	123	45	40	31	6
chr3_12447380_12447643_PPARG-NM_001354670.2	37	26	30	13	68	10	104	15	133	22	38	14	34	123	45	43	31	6
chr3_12458202_12458653_PPARG-NM_001354666.1	52	21	38	14	111	22	185	17	213	32	63	13	60	123	67	47	37	15
chr3_12475396_12475411_PPARG-NM_001330615.1	10	3	13	4	34	8	60	4	41	8	18	2	17	33	16	8	5	5
chr3_12475396_12475641_PPARG-NM_001354666.1	21	6	22	8	62	9	104	7	88	16	24	3	32	66	27	16	12	6
chr3_33540125_33540209_CLASP2-NM_001365634.1	43	69	130	109	210	128	139	98	91	97	514	156	205	283	270	201	150	84
chr3_33543143_33543260_CLASP2-NM_001365634.1	48	75	165	116	240	148	176	104	111	129	591	178	224	306	293	192	160	94
chr3_33552049_33552256_CLASP2-NM_001365634.1	80	104	233	160	296	220	241	145	166	173	787	274	258	453	408	262	262	125
chr3_33557514_33557643_CLASP2-NM_001365634.1	74	75	204	130	223	142	182	111	104	118	634	225	198	359	334	197	208	107
chr3_33558472_33558666_CLASP2-NM_001365634.1	75	87	202	146	285	144	178	116	106	119	696	244	240	395	363	224	228	132
chr3_33576724_33576953_CLASP2-NM_001365634.1	78	90	227	175	372	183	202	141	144	136	826	288	288	418	425	266	230	154
chr3_33580280_33580434_CLASP2-NM_001365634.1	63	59	167	151	259	131	138	129	105	104	647	214	246	340	330	211	166	128
chr3_33584924_33585031_CLASP2-NM_001365634.1	58	49	133	115	183	101	112	92	83	89	513	155	196	280	275	172	131	114
chr3_33586189_33586333_CLASP2-NM_001365634.1	64	65	172	126	211	126	163	88	90	104	597	186	210	308	296	190	163	123
chr3_33592743_33592887_CLASP2-NM_001365634.1	63	65	159	110	197	109	171	87	78	90	567	192	193	305	270	180	168	99
chr3_33600616_33600667_CLASP2-NM_001365630.1	22	15	39	38	61	34	62	35	26	34	120	72	72	132	72	69	40	50
chr3_33600798_33600877_CLASP2-NM_001365634.1	41	57	110	95	160	97	130	63	65	77	444	146	157	253	225	138	144	109
chr3_33602299_33602463_CLASP2-NM_001365634.1	54	69	141	111	217	115	168	92	88	101	528	194	208	326	306	174	161	132
chr3_33608223_33608226_CLASP2-NM_001365634.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3_33612218_33612282_CLASP2-NM_001365634.1	38	53	107	89	160	85	118	71	53	75	343	121	132	222	175	114	99	84
chr3_33614601_33614846_CLASP2-NM_001365634.1	86	117	235	169	343	210	209	127	123	139	694	289	236	410	394	256	197	154
chr3_33615964_33615988_CLASP2-NM_001365629.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3_33617660_33617767_CLASP2-NM_001365634.1	75	75	167	115	272	162	141	72	82	114	496	210	143	296	261	177	131	93
chr3_33618693_33618756_CLASP2-NM_001365627.1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
chr3_33623312_33623420_CLASP2-NM_001365634.1	62	95	173	159	289	161	156	93	85	132	498	215	166	306	273	198	156	84
chr3_33626241_33626412_CLASP2-NM_001365634.1	61	107	231	209	408	233	221	140	123	146	619	264	235	383	369	241	214	122
chr3_33633886_33633988_CLASP2-NM_001365634.1	49	85	179	173	302	225	204	111	114	139	540	216	204	353	333	173	195	114
chr3_33636442_33636460_CLASP2-NM_001365632.1	2	1	3	1	3	3	13	1	1	6	11	1	1	1	18	1	3	0
chr3_33638202_33638226_CLASP2-NM_001365632.1	0	4	3	1	3	4	10	3	1	6	7	1	1	3	14	0	3	0
chr3_33644443_33644617_CLASP2-NM_001365634.1	59	113	193	206	350	251	234	142	132	166	623	245	206	410	410	234	224	143
chr3_33645645_33645701_CLASP2-NM_001365634.1	43	75	125	133	215	133	148	84	75	88	402	145	126	233	253	147	146	90
chr3_33648082_33648250_CLASP2-NM_001365634.1	73	104	203	164	270	184	211	126	101	129	614	209	207	347	344	205	218	105
chr3_33648875_33648953_CLASP2-NM_001365634.1	72	67	134	92	190	125	151	84	76	81	419	142	144	250	214	138	158	78
chr3_33650058_33650118_CLASP2-NM_001365634.1	66	61	108	74	164	99	113	68	71	74	373	132	126	185	195	127	132	81
chr3_33653492_33653563_CLASP2-NM_001365634.1	70	60	130	87	186	109	125	73	80	88	425	145	126	186	214	130	131	79
chr3_33661094_33661230_CLASP2-NM_001365634.1	64	82	173	104	240	148	131	94	88	108	534	168	132	270	289	155	145	102
chr3_33663626_33663772_CLASP2-NM_001365634.1	47	71	158	122	258	140	137	90	79	114	531	159	144	278	288	162	130	98
chr3_33668479_33668572_CLASP2-NM_001365634.1	52	80	140	116	230	120	130	74	66	91	461	120	137	296	254	168	122	95
chr3_33673783_33673863_CLASP2-NM_001365634.1	43	76	133	102	204	108	107	70	56	81	436	114	129	308	238	162	126	103
chr3_33673783_33673866_CLASP2-NM_001365633.1	43	76	133	102	204	108	107	70	56	81	436	114	132	308	238	165	126	103
chr3_33686248_33686395_CLASP2-NM_001365634.1	46	81	152	117	217	117	124	77	58	81	470	130	140	312	271	209	183	120
chr3_33700465_33700481_CLASP2-NM_001207044.2	0	3	0	0	0	0	0	2	0	1	0	1	2	0	1	2	0	0
chr3_33704936_33705007_CLASP2-NM_001365634.1	42	58	117	76	142	105	90	45	51	61	325	107	94	218	192	159	132	82
chr3_33725850_33725948_CLASP2-NM_001365634.1	51	63	134	98	190	121	107	61	58	79	390	141	101	277	245	173	157	89
chr3_33728551_33728627_CLASP2-NM_001365634.1	33	52	125	74	193	90	104	55	59	76	360	125	105	270	203	139	140	69
chr3_33729768_33729860_CLASP2-NM_001365634.1	38	59	148	91	211	100	109	55	69	81	374	135	122	317	213	152	171	73
chr3_33731320_33731424_CLASP2-NM_001365634.1	39	62	137	109	200	104	128	68	81	89	344	134	124	305	218	137	157	66
chr3_33738346_33738425_CLASP2-NM_001365634.1	27	41	72	84	188	85	99	58	61	78	233	109	93	214	162	88	103	55
chr3_33759299_33759494_CLASP2-NM_001365634.1	23	32	77	78	137	117	103	64	57	62	248	122	73	197	160	87	93	54
chr3_38207367_38207437_OXSR1-NM_005109.3	161	173	312	275	577	340	416	159	233	152	786	298	545	1061	427	318	514	187
chr3_38224493_38224606_OXSR1-NM_005109.3	247	257	503	418	977	483	651	232	402	250	1300	429	839	1551	698	501	805	270
chr3_38232221_38232330_OXSR1-NM_005109.3	264	240	506	427	1063	520	670	251	496	267	1475	464	873	1580	763	508	785	256
chr3_38240212_38240354_OXSR1-NM_005109.3	315	294	658	496	1288	603	865	285	646	320	1843	638	1061	1855	1021	626	899	261
chr3_38257586_38257642_OXSR1-NM_005109.3	227	222	492	364	868	427	645	196	430	243	1296	457	757	1537	745	445	653	181
chr3_38263068_38263178_OXSR1-NM_005109.3	352	296	649	464	1130	559	787	267	533	328	1621	615	1027	1894	1011	632	894	250
chr3_38265302_38265404_OXSR1-NM_005109.3	397	266	597	402	1015	459	765	278	529	311	1511	555	958	1769	933	637	837	223
chr3_38266061_38266195_OXSR1-NM_005109.3	475	301	664	450	1130	500	945	319	614	352	1918	623	1185	1972	1099	745	1072	254
chr3_38271177_38271226_OXSR1-NM_005109.3	323	206	444	349	757	319	662	217	449	234	1315	397	831	1180	728	477	726	174
chr3_38271855_38271921_OXSR1-NM_005109.3	304	225	477	357	816	337	645	239	457	221	1399	426	809	1104	778	466	752	188
chr3_38278329_38278452_OXSR1-NM_005109.3	362	328	695	502	1258	561	1062	299	645	335	2022	605	1209	1704	1063	643	1087	270
chr3_38284233_38284269_OXSR1-NM_005109.3	252	222	470	320	848	414	730	196	426	238	1333	393	775	1215	703	417	692	183
chr3_38287565_38287712_OXSR1-NM_005109.3	364	307	709	464	1151	566	1032	281	582	359	1871	573	1182	1801	955	595	1009	271
chr3_38289158_38289223_OXSR1-NM_005109.3	252	191	471	305	703	337	660	183	385	219	1251	363	754	1133	596	363	593	161
chr3_38291456_38291509_OXSR1-NM_005109.3	213	201	434	328	692	324	691	161	397	215	1353	359	707	1004	637	381	571	178
chr3_38292893_38292962_OXSR1-NM_005109.3	259	219	505	392	868	408	843	199	476	256	1570	434	852	1208	752	453	697	216
chr3_38293818_38293883_OXSR1-NM_005109.3	260	217	487	371	917	436	899	209	489	281	1612	473	801	1211	773	475	725	226
chr3_38294307_38294379_OXSR1-NM_005109.3	251	221	496	374	935	462	904	246	507	260	1630	489	796	1167	769	479	759	218
chr3_44672710_44672713_ZNF197-NM_001323296.2	27	41	51	50	123	57	154	41	89	39	187	56	88	115	68	50	78	46
chr3_44673655_44673688_ZNF197-NM_001323295.2	40	54	65	56	118	53	140	47	100	43	193	59	116	121	84	47	88	46
chr3_47058585_47058744_SETD2-NM_001349370.2	163	204	343	292	633	282	874	210	345	165	1081	354	909	1027	764	389	471	264
chr3_47059127_47059229_SETD2-NM_001349370.2	146	207	329	277	600	266	857	192	306	147	1057	317	838	976	733	349	454	224
chr3_47061249_47061330_SETD2-NM_001349370.2	115	164	273	241	494	235	756	183	257	146	938	267	683	900	604	282	420	163
chr3_47079155_47079267_SETD2-NM_001349370.2	116	171	296	253	507	214	783	208	288	148	978	296	709	891	633	326	414	183
chr3_47084050_47084190_SETD2-NM_001349370.2	133	174	284	282	572	235	874	223	316	154	1074	294	743	891	666	320	420	210
chr3_47087976_47088111_SETD2-NM_001349370.2	112	141	280	248	539	215	871	204	310	156	1002	277	676	731	562	276	398	186
chr3_47098310_47098980_SETD2-NM_001349370.2	332	423	832	758	1650	675	2569	584	980	483	2797	994	2043	2147	1758	932	1127	538
chr3_47103652_47103836_SETD2-NM_001349370.2	171	221	363	328	832	296	1132	302	411	216	1306	459	1203	1305	849	485	548	312
chr3_47108559_47108608_SETD2-NM_001349370.2	101	117	203	170	441	154	622	156	218	113	706	240	709	756	441	275	291	176
chr3_47125209_47125872_SETD2-NM_001349370.2	496	526	973	753	1892	702	2331	644	967	465	2791	927	2319	2771	2045	1089	1364	628
chr3_47127684_47127804_SETD2-NM_001349370.2	134	174	275	211	550	228	711	186	294	129	856	289	724	1000	621	312	455	182
chr3_47129602_47129737_SETD2-NM_001349370.2	142	193	285	250	609	234	744	219	305	170	934	294	749	1010	631	325	568	192
chr3_47139444_47139571_SETD2-NM_001349370.2	162	211	305	249	604	233	756	206	297	190	894	301	706	976	656	327	532	187
chr3_47142947_47143045_SETD2-NM_001349370.2	142	152	239	203	473	176	604	172	253	157	734	264	522	728	540	280	405	136
chr3_47144835_47144913_SETD2-NM_001349370.2	114	103	214	182	403	162	556	161	230	123	624	236	441	608	450	231	306	128
chr3_47147486_47147610_SETD2-NM_001349370.2	121	115	253	207	426	172	610	183	244	138	650	257	545	708	466	283	321	150
chr3_47155365_47155494_SETD2-NM_001349370.2	113	123	260	184	405	176	627	184	257	128	675	282	556	660	453	272	319	142
chr3_47158112_47158244_SETD2-NM_001349370.2	108	123	212	152	346	169	557	172	232	109	615	250	440	572	376	229	301	125
chr3_47161671_47165993_SETD2-NM_001349370.2	1366	1639	2505	2182	5068	2095	6610	1790	2927	1430	7678	2854	5336	5638	5193	3134	4092	1688
chr3_47161671_47166038_SETD2-NM_014159.6	1376	1644	2512	2195	5086	2109	6630	1794	2942	1433	7698	2871	5356	5670	5206	3147	4116	1693
chr3_47168137_47168153_SETD2-NM_014159.6	29	31	62	44	116	69	120	36	68	24	151	81	115	173	75	57	110	46
chr3_47205343_47205414_SETD2-NM_014159.6	45	35	67	56	161	99	130	28	67	28	173	81	110	178	91	58	100	58
chr3_49547967_49548252_DAG1-NM_001177643.2	3	364	22	557	33	698	17	372	26	405	43	857	29	1845	43	710	9	254
chr3_49568229_49570629_DAG1-NM_001177643.2	76	2821	139	4876	351	5422	183	3323	131	3833	441	7600	199	14270	263	6064	106	2254
